2023-03-17 12:06:59,062  INFO | main | o.s.security.web.DefaultSecurityFilterChain             | Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7b6d88d1, org.springframework.security.web.context.SecurityContextPersistenceFilter@1435feb6, org.springframework.security.web.header.HeaderWriterFilter@47b5c247, org.springframework.security.web.authentication.logout.LogoutFilter@53dfb073, com.akraness.akranesswaitlist.security.JwtRequestFilter@3b9c386d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@71acf065, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@42b6acc2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@14cf30b3, org.springframework.security.web.session.SessionManagementFilter@5392c0a7, org.springframework.security.web.access.ExceptionTranslationFilter@3577fd9b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5f84e764] 
2023-03-17 12:07:03,392  WARN | main | o.s.b.a.freemarker.FreeMarkerAutoConfiguration          | Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false) 
2023-03-17 12:07:03,544  INFO | main | o.s.boot.actuate.endpoint.web.EndpointLinksResolver     | Exposing 1 endpoint(s) beneath base path '/actuator' 
2023-03-17 12:07:03,679  INFO | main | org.apache.coyote.http11.Http11NioProtocol              | Starting ProtocolHandler ["http-nio-8083"] 
2023-03-17 12:07:03,741  INFO | main | o.s.boot.web.embedded.tomcat.TomcatWebServer            | Tomcat started on port(s): 8083 (http) with context path '/user' 
2023-03-17 12:07:03,779  INFO | main | c.akraness.akranesswaitlist.AkranessWaitListApplication | Started AkranessWaitListApplication in 30.279 seconds (JVM running for 32.958) 
2023-03-17 12:07:48,418  INFO | http-nio-8083-exec-2 | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/user]   | Initializing Spring DispatcherServlet 'dispatcherServlet' 
2023-03-17 12:07:48,419  INFO | http-nio-8083-exec-2 | org.springframework.web.servlet.DispatcherServlet       | Initializing Servlet 'dispatcherServlet' 
2023-03-17 12:07:48,423  INFO | http-nio-8083-exec-2 | org.springframework.web.servlet.DispatcherServlet       | Completed initialization in 4 ms 
2023-03-17 12:07:48,455  WARN | http-nio-8083-exec-2 | com.akraness.akranesswaitlist.security.JwtRequestFilter | JWT Token does not begin with Bearer String 
